报告日期,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1992-06-30,1991-12-31,1990-12-31,1989-12-31,
净利润(扣除非经常性损益后)(万元),1751100,1011100,2884000,2231600,1358600,850600,2808600,2352700,1531600,742200,2470000,2034700,1332600,655500,2316200,1913000,1251200,621200,--,--,1229400,607500,2190200,1775400,1159100,563700,1984100,1571100,1008500,506500,1516600,1163700,752200,--,1338522,--,672926,--,1017927,--,471808,--,614374,--,297655,--,493957,--,230637,--,62394,--,215640,--,260755,--,111706,--,122696,--,41696,--,33470,--,14624,--,--,0,25593,0,--,--,27034,--,44494,41873,31973,--,--,--,226346,--,--,17795,--,0,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,--,0,
经营活动产生的现金流量净额(万元),-11597200,-1155300,-1616100,3069800,-2566600,1798900,-4002500,8448000,2643200,5318400,-5732300,-1131000,745500,4144200,-11878000,-15798700,-12818000,-11500800,--,-15294200,-3319800,5926800,-182600,9198500,18252200,1149500,2532100,-510900,5342400,6009700,9167400,10082300,2880000,1411900,18583846,8278211,14402978,7682782,-1443937,1786163,3157390,2134655,2174630,1057979,-303344,860964,3219361,-25783,384487,270639,2434261,3954567,928697,382609,1705158,2058424,1317071,371936,741039,625352,273116,1366333,-428558,-396324,-136102,-191106,704562,-413156,-288932,310287,-166881,-735205,-387834,-891531,854404,0,-1037451,--,1464214,--,123018,--,159107,17234,467159,42179,229110,158156,--,--,--,--,0,--,0,0,--,0,0,0,0,--,0,
现金及现金等价物净增加额(万元),1916700,444100,9989200,11401300,1859700,-121800,1725700,-304500,-22100,3916200,2477700,2758600,8388300,5386400,-9639000,-10747100,-10911200,-11333200,--,-12559000,-4819600,1619600,7788500,21640400,20412900,2358200,235200,175500,5048700,7792200,903700,-358800,-4388500,-3328800,10416056,4271528,11914798,6313505,-24144,-1054348,1308989,1319197,1344433,953391,159960,148875,1757903,677222,666117,-6167,656904,1766415,281628,423907,842219,1109239,1058488,4685,-144038,-213461,-505256,81674,381879,169241,396350,5490,-347675,-870910,-578720,28687,-429349,-878981,-592780,-966115,144824,0,-1427767,--,878707,--,64632,--,131782,-169345,259677,-6364,11583,25356,--,--,--,--,0,--,0,0,--,0,0,0,0,--,0,
总资产(万元),472352000,457297400,446851400,434692100,417862200,413229800,393907000,370768300,359076600,353018000,341859200,335205600,336739900,333857200,324847400,313748100,309214200,300619500,295343400,--,--,--,250714900,259906000,257050800,230477500,218645900,214435800,213647500,209710200,189174100,185561900,182699800,181124900,160653676,147753074,149062285,136800507,125817694,120721250,85205703,80756345,72761007,67506388,62439818,61992763,58781103,55426468,54122574,52187940,47444017,44145440,44182348,40947392,35253936,34052694,31405601,28765861,26057626,24623028,24282388,23955757,22921642,22051594,21050562,20120399,20428642,19884820,20319444,21249734,19285100,19339629,17545483,16246742,16616638,16002197,13468902,11068855,12012698,--,8518143,12012698,6722750,4973234,4586897,3871211,3939986,3487337,3179863,3053193,3002203,2429677,2031248,1743993,1548841,1246595,932322,0,752285,0,435446,291919,168166,
流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16876351,16117293,15192436,14204302,13231426,13796375,13260875,14017449,15288770,13485487,13790117,12888998,10946392,12217116,11801861,8749703,6927429,8353324,--,5724386,8353324,4429182,3086580,3061533,2330686,2739522,2335266,2467721,2386834,2607664,1036831,1722514,1442012,1310612,1066623,784535,0,6320,0,3310,80420,38276,
总负债(万元),434632700,420035700,410438300,398815000,382722500,377994300,362608700,341961000,333416300,327924200,317855000,311682500,313925800,311518100,302642000,291937000,288068800,279845600,275126300,--,--,--,234564900,244192400,241962800,216807100,205551000,201762200,201553500,197980200,177966000,176070600,173545600,172249000,152173799,139580486,141080024,128904764,118279636,113552624,81390463,77161337,69409719,64291974,59397707,59781780,56734143,53517625,52323834,50480727,45803938,42307974,42488019,39543254,33953330,33216339,30635753,28055252,25410180,24017632,23723184,23429344,22417337,21550098,20561347,19636520,19960176,19447607,19894364,20831864,18888592,18941440,17112459,15854619,16239836,15596378,13074716,10687664,11649931,--,8021960,11649931,6248862,4665382,4296814,3479456,3572350,3109640,2839795,2754947,2748234,2197187,1835194,1557160,1382858,1095304,811441,0,19589,0,7723,5628,3983,
流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,21799748,20725002,19865930,18884140,17939279,18484706,17959116,18475296,19678372,14838554,14975486,13653639,12960171,13122053,0,9720652,7308815,8216941,--,5324580,8216941,4419549,0,3291517,2479850,2587884,2207302,2070524,1993601,2057496,1642440,1408718,1251234,1162349,932541,725120,0,19589,0,7723,5628,3983,
股东权益不含少数股东权益(万元),37719300,37261700,36413100,35877100,35139700,35235500,31298300,28807300,25660300,25093800,24004200,23523100,22814100,22339100,22205400,21811100,21145400,20773900,20217100,--,--,--,16150000,15713600,15088000,13670400,13094900,12673600,12094000,11730000,11208100,9491300,9154200,8875900,8479878,8172589,7982261,7681529,7331084,6970795,3815240,3595007,3351288,3214414,3042111,2210983,2046961,1908844,1798739,1707213,1640079,1837466,1694330,1404138,1300606,836355,769848,710609,647446,605395,559204,526413,504304,501497,489215,483879,468466,437212,425080,417871,396508,398189,433024,392123,376802,405819,394186,381192,362767,--,496182,362767,473888,307851,290083,391755,367665,377227,339587,297766,253479,231992,195546,186410,165561,151291,120458,0,54566,0,57796,23651,14406,
净资产收益率加权(%),5.17,2.72,9.58,7.63,4.59,2.77,11.3,9.71,6.32,2.91,11.49,9.48,6.13,2.79,11.62,9.6,6.21,2.89,--,--,7.35,3.7,14.94,12.39,8.41,4.21,16.35,13.16,8.62,4.41,16.57,12.96,8.52,4.14,16.78,13.05,8.82,4.57,20.32,17.64,13.19,6.92,23.22,18.83,13.8,7.42,26.59,--,13.17,6.02,4.32,22.61,15.23,26.75,33.41,16.58,16,--,22.83,13.58,8.77,--,7.16,--,4.33,--,6.38,0,6.96,0,7.86,7.91,6.44,--,11.24,0,7.71,--,10.82,--,4.6,--,30.65,0,--,0,--,--,--,--,--,--,0,--,0,0,0,0,0,0,0,--,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
